	ACVRL1	AR	ARID1A	ASNS	ATM	AXL	BAX	BCL2	BCL2A1	BID	BRAF	BRCA2	CDK1	DUSP4	DVL3	EEF2	EEF2K	EGFR	EIF4E	ENY2	ERCC1	ERCC5	ETS1	FASN	FOXM1	G6PD	GAB2	GAPDH	GATA3	INPP4B	IRF1	IRS1	JAK2	LCK	MSH2	MTOR	MYH11	NF2	NOTCH1	NRAS	PARP1	PCNA	PDCD4	PDK1	PEA15	PRDX1	PREX1	PTEN	RAD50	RAD51	RICTOR	SLC1A5	SMAD1	SMAD3	SMAD4	SRC	SYK	TAZ	TFRC	TSC1	XBP1	XRCC1
ACVRL1	1.0	-0.17766462238479852	-0.09987200603841717	0.013511630198325998	-0.05651145513887801	0.5161850470775821	0.11750338513320101	0.005829080108082978	0.3803017853796595	0.06403567332186622	-0.10409356188495512	-0.06953250947237599	-0.09274936942089007	0.16042773977505403	0.05906052386219465	0.034721231528125084	-0.038026929162923856	0.10520631520142615	-0.01660343029281222	-0.004826115147519505	0.1110457790866863	-0.09740700335242837	0.5781005636163699	-0.0009162392463828402	-0.03898204317784293	0.09706464180961669	0.04588675928259239	-0.07662278128191054	0.2981365419306491	0.24915473969378674	0.15070575879229622	0.029640655425083925	0.19392130270240046	0.3546798335812508	-0.20830978241254852	-0.005327696218048887	0.23608341636619154	0.11436091629322809	0.19223332390981054	0.02323615383451456	-0.09088379235349224	-0.16826321376395087	-0.20812833354728	-0.0927281400239438	0.003373440196416626	-0.08617038489902268	0.4013016592045502	0.13711934085621874	-0.06193293734672479	-0.024537298611530724	-0.1697587811115004	0.03225059281442689	0.1463136321872998	-0.07686336474197547	-0.04950772845202312	0.050569172495345455	-0.21527205076061107	0.007099456261240115	0.10413970508932052	-0.007515004575961545		-0.04602095312023135
AR	-0.17766462238479852	1.0	0.07620491006367662	-0.01665706522326069	0.24061292245517005	0.09820330209452859	-0.17544874382147252	0.28399222576664146	-0.15675312344030298	-0.023658059968546894	0.0013864430115721796	-0.09326516357139829	-0.23279777086023987	-0.22857504786529995	-0.13958355125026958	0.16482666041616556	0.2985564920843906	0.04436111973482125	-0.05243479532870568	-0.1424736300261271	-0.015711040538270347	0.06602477900626169	-0.09216973742878673	0.03790818612050271	-0.162662126784079	-0.19748145666414982	0.1357354195189459	0.010578360086640905	-0.26074241418560806	-0.11101279537109103	-0.061359413443427706	0.2537164804243649	0.02096092861688878	-0.1794700970868429	-0.022478073365463508	0.03503308941807898	0.17352130553084646	-0.0009856216005369974	-0.09422371476864752	-0.07343634800949048	0.10378156271227813	-0.21939488861610013	0.3940505515834173	0.03352204168356097	0.020453372792394578	-0.047871266005349945	-0.12254562808831793	0.20759508319206038	0.17303561268689036	-0.2735909582556295	0.10021165139389496	-0.01416798027307857	0.01141050057720308	0.055489067847630566	0.16749729651318876	-0.0011934786593723857	0.0488635486739936	-0.1235565065058193	-0.26307544225490026	-0.045616333503493485		-0.03571581811504073
ARID1A	-0.09987200603841717	0.07620491006367662	1.0	-0.15130167126963834	0.2113469160791825	0.02846154158395466	-0.3387690565614548	0.12984079657615338	-0.42203296439116456	-0.38128857300636043	0.17498904048036196	0.13562134293743647	-0.1859835594023745	-0.2625897057242265	0.4271161404515287	-0.036587821597472356	0.21550642215388682	0.10515895810623996	-0.35474535668403523	-0.2464683080314952	-0.19640812063937776	0.1357985943472841	-0.07315787550154866	0.2514105291722414	0.15228855487585546	0.023055716773240607	0.10393038616097118	-0.24392684698924152	-0.047442147202781254	-0.1173537552695863	-0.23445720324190686	0.3225915836777446	-0.041628609727482065	-0.18496956133418807	0.2351161432593902	0.5728340977768613	0.07699767247212538	0.1129523242955052	0.30641626254087767	0.0014325090889190332	0.33275741370643674	-0.28701425892777865	0.08776871630790781	0.038125472866607876	-0.22190566166372125	-0.3554981220125869	0.2790331403241398	-0.054290167909336745	0.06116083039233616	-0.07115329973793615	0.054716166327419984	-0.06447906648781046	0.03836434971894276	0.18711150374091096	-0.0077846224893691925	0.19679054835797202	0.11715658503572529	-0.15782140620568683	-0.1943866714925454	0.33464306070793215		0.12941080501741814
ASNS	0.013511630198325998	-0.01665706522326069	-0.15130167126963834	1.0	-0.21183481542691956	-0.17194510085418066	0.16828085200298123	-0.1530380256070427	0.15380013847648455	0.13817642319244133	0.03403637841167608	0.1020580007221179	0.3314642894507675	-0.18374453858737755	-0.10866853658091043	-0.05380400807500194	-0.04862602565901587	0.018412679560028976	0.020672452690050653	0.12643110691866538	0.0899614522210725	-0.08974452314818357	-0.016322062728056568	0.06504408994936964	0.18920367209263472	0.13664738616184915	0.010390958480260597	0.23326735287427233	-0.012750114782859973	-0.06333740046298139	0.14926704271671837	-0.20232952754397973	-0.017473095006425243	-0.01407407764835522	0.12159857713009546	-0.03336948140833769	-0.21567234465215743	0.04711656347848027	-0.25901343424492046	0.08599194300791584	0.062028655976152265	0.26063615507600557	-0.12266763564405972	0.2719117203186765	0.12734045946049485	0.1972842737630337	-0.21450057865285246	-0.0006161517018261731	0.062156534056788296	0.26915410060131645	-0.18661552436498702	0.26634081685598554	-0.030445074348162324	-0.16754975617213627	-0.04342447250931021	-0.20407777739661562	0.03645954215528536	0.18774690033297164	0.22413836945476046	-0.21233666690218944		0.023492132020210624
ATM	-0.05651145513887801	0.24061292245517005	0.2113469160791825	-0.21183481542691956	1.0	0.16774811124141262	-0.28539476253550033	0.21016454760001432	-0.1434424084375076	-0.16366682957608783	0.08391978097998631	-0.05985593705040355	-0.26522012790386146	-0.05239780061911507	0.04049055682976825	0.15149584533577184	0.1713169096725641	0.1847341874603439	-0.2356237034855579	-0.12547133620228984	-0.0021346811066508043	0.2479843664200365	0.17726146894589068	0.033759968912415506	-0.2009776606242312	-0.22728550752094412	0.21393602287066876	-0.200463144150613	-0.07518970613361826	-0.06742453576878767	-0.08468275719754495	0.2791399305899353	0.10503771554467158	-0.07411424640272028	0.03902498381975591	0.09048735397600603	0.2569971222031757	-0.048077748010880786	0.14881061692580516	-0.20188476727836163	-0.09619984057657258	-0.3272936483682892	0.24717496138653197	-0.17524583097509777	-0.18819504506429705	-0.3541306606666315	0.09452093995002164	0.022480591284365522	0.26846488977979677	-0.14315811340633292	0.18825700928633177	-0.09957232077465933	-0.06311502833751355	0.2525567246352723	0.03983880651611568	0.09233060389594777	-0.0665621542475554	-0.022894361420910257	-0.1440781319939044	0.24188702443136317		-0.007766097994278898
AXL	0.5161850470775821	0.09820330209452859	0.02846154158395466	-0.17194510085418066	0.16774811124141262	1.0	0.051140039414155285	0.3396579465909902	0.20995222750141265	0.061284840896662626	-0.025286594487701885	-0.1108884597306951	-0.26853102925486244	0.04952254294675815	0.15429577375860784	0.08119515149768886	-0.021850599131194165	0.15858874939865694	-0.07032332594351089	-0.07113085096685347	0.08175337068413219	-0.007539568158950467	0.4643763947267644	-0.013698421389570234	-0.13096998729315906	-0.0006267904143890283	0.11708297603626971	-0.15776325880753253	0.24673923811614157	0.16072302299855398	0.02798475591961544	0.3079311226432578	0.258407390957241	0.3559008285404009	-0.035605803660649936	0.07170686521104382	0.3336639519188482	0.036161064755229344	0.23049903706549882	0.02025156416295892	-0.0695408962906743	-0.16493248292410956	0.03142762886427708	-0.17756771146976214	0.03531025641863659	-0.17346118686735792	0.44927469286362276	0.28339078156461583	0.012936287518653684	-0.16809180676235813	-0.029193884096880826	-0.014206114797006347	0.18953915972615898	0.08666227497926371	0.05372452101854276	0.186909439361928	-0.17031313597860467	-0.1423302465154235	-0.0866933789248279	0.08886671885746804		0.09911095276203076
BAX	0.11750338513320101	-0.17544874382147252	-0.3387690565614548	0.16828085200298123	-0.28539476253550033	0.051140039414155285	1.0	-0.11579932931565942	0.29969354698324746	0.31489948527779393	-0.16526159329638124	0.10766808058202362	0.27627171463165534	0.05109167970395721	-0.21155251107039044	-0.1051288932744836	-0.246763161192277	-0.13905044916147727	0.24659657305723298	0.09954980632122573	0.5330320258841159	-0.10851888359550242	0.005664547119221581	-0.09398461056728916	0.10544598070327424	0.18281495536111458	-0.1877403501031137	0.14838400618256817	0.17082083670825549	-0.033683555664396576	0.01777427912879123	-0.3061357277960176	0.03594126231033011	0.23501098586642688	-0.06337149795646649	-0.2907189039338575	-0.07079102797294767	-0.08519798614666106	-0.09970537670084592	0.08569827520697007	-0.08144613077899954	0.33466031981046485	-0.20803453012513023	0.09829841303459146	0.1508052748829331	0.2162245956111471	-0.09941494406636787	-0.034728882862961066	-0.18594385823547266	0.13695829968610623	-0.028592508600207785	0.2480412125412064	-0.060506538523001516	-0.22193593191241157	-0.06585189111894324	0.048474109153337226	-0.17035838547451396	0.11944619353962344	0.142551205866395	-0.11347659354096677		0.2818101380858984
BCL2	0.005829080108082978	0.28399222576664146	0.12984079657615338	-0.1530380256070427	0.21016454760001432	0.3396579465909902	-0.11579932931565942	1.0	-0.11018551762459995	-0.20668426576128146	0.0704322515361894	-0.03258744015946283	-0.28884509871787156	0.05546807665033092	0.047004414632917865	0.06676687419629526	0.20141470778719037	0.11399760590830302	-0.19426656028116426	-0.14615595022924388	-0.08149106594248663	0.16824621063320577	0.06751846195279264	0.026763972605801614	-0.13890842437968454	-0.07701585126815329	0.020491082325222787	-0.185672743749013	-0.027088752758390046	-0.059337654025650076	-0.07546121924320474	0.5019127935933478	0.19102537977268183	0.04465833582448086	0.055025600134260756	0.09226722489968475	0.1247938740531812	-0.09204172714832551	0.1833052322933259	-0.03326004966221291	0.12029381672477514	-0.10362109559567899	0.3629542771350271	-0.1417398126673531	0.0020815975257766264	-0.10541328297419264	0.2998373852808798	0.10184303005312631	0.08615156646127305	-0.22714136716630953	0.02966607388144301	-0.004922072747103751	-0.10883617082757778	0.1813193162705702	0.23745996870485614	0.020507096416559147	0.1094441100912816	-0.1053941214118468	-0.21213289989863787	0.16193794501131611		0.021678502768757074
BCL2A1	0.3803017853796595	-0.15675312344030298	-0.42203296439116456	0.15380013847648455	-0.1434424084375076	0.20995222750141265	0.29969354698324746	-0.11018551762459995	1.0	0.34369242986485643	-0.08748103484398694	0.010082005200624383	0.1409722877515756	0.24007680616655788	-0.23024831996390177	-0.06986118760840233	-0.13355122875361117	0.0370321165015143	0.2541613693217341	0.17192818138383925	0.09233731231326021	-0.0609485506735364	0.37944579985476695	-0.16446110224138763	0.011130145220949855	0.08348023661195086	-0.04413065835254234	0.23512588050184982	0.33700601968468014	0.30946147885961817	0.4062699569390503	-0.2627730966440612	0.3271753429097465	0.45706914525152614	-0.1827001993269716	-0.28652737362774494	0.03756418711921528	-0.00958615533660475	-0.1498208505958538	0.14629221461413228	-0.2995984786744053	0.1440962346959341	-0.24191644159084122	0.2217448044935515	0.1602873519951107	0.28535077075430376	0.02925899974524479	0.09381742212496981	-0.17357934496263572	0.14473953178114582	9.809761471466108e-05	0.13407717227033253	0.10826818805740786	-0.09375422026159784	-0.09944402280134504	-0.11020915170381754	-0.1936355230830729	0.11148289846346487	0.24666460852145036	-0.25770687998277036		-0.17983297895181963
BID	0.06403567332186622	-0.023658059968546894	-0.38128857300636043	0.13817642319244133	-0.16366682957608783	0.061284840896662626	0.31489948527779393	-0.20668426576128146	0.34369242986485643	1.0	-0.16880081157808474	-0.0725674169236317	0.15392522150633042	0.07800629387860965	-0.1297155141775455	-0.014518859216343367	-0.0631504964471763	0.04845351853949429	0.17131357620329096	0.09565175438508319	0.216420804552151	-0.042758508496595724	0.0761797903426541	-0.059866817511216204	-0.02924180054594849	0.02168668076725746	-0.08824993977834872	0.14103945547225247	0.10026724261708242	0.22152230802514822	0.16944984973988286	-0.25997512197804523	0.0872226826413457	0.17834241948480778	-0.06879117640753765	-0.23630678522835508	-0.04069877710627895	0.12242704329114211	-0.11563229413464422	-0.005807845059648546	-0.236647635355541	0.17680904654372864	-0.07896240666838955	0.04572224072218049	0.1908888872278896	0.2744846799506532	-0.20376880299319583	-0.06346895255461421	-0.11149787915163735	0.05771239002776384	-0.13812416381051332	0.17812092260351867	0.08792197040124304	-0.0007882977200771806	-0.03232528696188705	0.04063796336045204	-0.17177113177942535	0.04813947344659016	0.24398021163428035	-0.2503767772559196		-0.08214745719657207
