	ACVRL1	AR	ARID1A	ASNS	ATM	AXL	BAX	BCL2	BCL2A1	BID	BRAF	BRCA2	CDK1	DUSP4	DVL3	EEF2	EEF2K	EGFR	EIF4E	ENY2	ERCC1	ERCC5	ETS1	FASN	FOXM1	G6PD	GAB2	GAPDH	GATA3	INPP4B	IRF1	IRS1	JAK2	LCK	MSH2	MTOR	MYH11	NF2	NOTCH1	NRAS	PARP1	PCNA	PDCD4	PDK1	PEA15	PRDX1	PREX1	PTEN	RAD50	RAD51	RICTOR	SLC1A5	SMAD1	SMAD3	SMAD4	SRC	SYK	TAZ	TFRC	TSC1	XBP1	XRCC1
ACVRL1	1.0	0.014269930859767995	-0.0063068267106273414	-0.09955659730146053	-0.09258696799614909	0.16214884960427675	-0.07506253798022876	0.20100783205445144	0.19085989678046708	0.012039518941464622	-0.1883146152712946	0.28688183672302614	-0.28508631008890484	0.435467320165391	-0.10476888534873462	-0.12515302670553685	-0.18306314610642704	0.14943363342023566	-0.1504884893359527	-0.12393663880519998	-0.1352241565613352	0.10184934709404167	0.2282155802730657	0.05053618640140643	-0.23465660859945986	0.23458560526072467	-0.07232156989173294	-0.13228573935701593	0.2555231395423693	-0.06390075118745397	0.08414298693628726	-0.10993103888339535	0.46358606983995	0.021215414415399814	-0.19307427141997927	-0.17180686356368594	0.1219007241711086	-0.1536977246291462	0.13483024270443408	0.6788941615863294	-0.09539827907807068	-0.271141156979609	-0.06929057301349809	0.20179644130423144	-0.030541673839140394	0.16199240602055817	0.047303009086774865	-0.0989270137908517	-0.15490524855639629	0.008890681421995481	-0.008762543852552998	-0.06834479303379087	-0.1347671480659118	0.06803420613675315	0.11740975737832435	0.06077127476026859	-0.07748255546571228	0.1404991880947782	-0.057325224969442014	-0.23943458685682106	0.0605164362728594	0.03454810311896759
AR	0.014269930859767995	1.0	0.04008888524694903	-0.03412543430787103	0.21468864098461302	-0.04399206824293254	-0.3155601885207423	0.1766452411478781	-0.1396528176902228	0.03363989766756111	-0.024390368126838056	0.011752023432757653	-0.2010880030578518	0.03490702785780519	-0.24845505295670695	-0.057352650302960564	0.17358817961811002	-0.12551506037365295	-0.09017647461836294	-0.004505216418840358	0.08108910623866389	-0.10253295803635755	-0.15294690908648234	-0.05255571817876652	-0.12441808516589783	-0.17598225555805252	0.03155081756385273	-0.02758153651658541	-0.03409218815308753	0.03218366420567342	-0.12509059537979034	0.2141709432506031	0.013530384906734211	-0.2960314399378105	0.09047167960281802	0.11363736791193976	0.040506788656398465	-0.10156994077951569	-0.16744438438974807	0.0669565031262664	0.12669541693221612	-0.15215595260856993	0.3396512949441618	-0.035401439689779456	-0.16182600940327552	-0.15836956155362164	-0.3032405524782064	0.18576662751386616	0.1274544422858809	-0.11482443982567793	0.0994551498820275	-0.09725587357191127	-0.09611779150553389	0.10438349240440296	0.11645898176693471	0.03632025076391275	-0.06236628801111183	-0.1637326492725216	-0.04943762968004569	-0.21002517936628642	0.17060457748205077	0.0004529478396550781
ARID1A	-0.0063068267106273414	0.04008888524694903	1.0	0.15511328381934075	0.08400602778483138	-0.12820344657136065	-0.280157904006819	-0.08210944510542562	-0.27724786902853854	-0.3103390491424132	0.3548963923471621	0.006365005538269135	0.21180938591025186	0.19548533637992438	0.128344626257917	-0.037617008315086006	0.12739969840695622	-0.20024142474173776	-0.013887564809774966	0.26618114674311266	-0.025812100939200357	0.25176228841235293	-0.25534564235269835	0.07147102385646316	0.3533621601824011	-0.18522623166117275	0.11374460178744639	-0.02245279688505076	-0.14668329009439227	-0.19770857129439676	-0.010444892025829098	-0.08336432666210353	0.12588826003635872	-0.35240680256875345	0.44301355008189236	0.24771273842984368	-0.18974164000681187	-0.17034976214788713	-0.0738668536010947	0.014851134889036803	0.3856999360671101	0.11391868445501985	0.0924843326686165	-0.07124392133298743	-0.25626796755360026	-0.09960013801316588	-0.053342319144136396	-0.11404189527606474	-0.05643491928902351	-0.016295048067547852	0.0923356422115143	0.17803773937076517	0.12704771083358649	0.08588814764157944	0.08461491962524503	-0.12857921268239608	0.17385084982463309	-0.1450089565587066	0.16230391825649787	-0.0017891927696706827	-0.1538043059072478	0.42144750963812333
ASNS	-0.09955659730146053	-0.03412543430787103	0.15511328381934075	1.0	-0.0018759577766452073	-0.1132969430792831	0.04598975760088638	-0.11110708987125968	0.02232626053276893	-0.15500716762540892	0.2690443100961626	0.012205815346060689	0.2702261696895763	0.04771544221536715	-0.021858594716670617	0.12312688512898946	0.08146913689038536	-0.06905342148036443	0.0164591960886599	0.20139117642593776	-0.028615217191761955	0.08629865069403327	-0.15096973678028497	0.3177012013147702	0.3621767554468338	0.0833696905009953	0.05391645673431096	0.15061035178086737	-0.1061908299259585	-0.16990700863541983	0.07212159360259383	-0.23366339617699797	0.06415922666016984	0.002501141328870619	0.2965158301729686	0.2462402436590997	-0.17234407851088396	0.01666128344429842	-0.08500540994251783	-0.06013997249457077	0.3156676753543359	0.3213535566493231	-0.10869524489993979	-0.07604736786752594	0.007166522007363659	0.11895400969849702	-0.013756529753572378	0.0056104380752088085	-0.0427975673863386	0.15126710304229765	-0.11252260406700756	0.36440453068266027	0.11883367054500103	-0.19509246291075902	-0.06421850057949997	-0.12198231631741782	0.2373515416419769	-0.19827785256493333	-0.06638489092292427	0.2855640707863726	-0.22402012389229511	0.20165392427988157
ATM	-0.09258696799614909	0.21468864098461302	0.08400602778483138	-0.0018759577766452073	1.0	0.0634707622582504	-0.2687991763167686	0.06989893536994711	-0.30069060505251244	-0.1933484360357648	0.10241826616216006	0.056800840060841164	-0.12289949004651556	0.05196565189570394	0.0773894343164939	0.20701627736681252	0.13750292021101168	-0.20423795862824032	-0.2645429772536118	0.09705186335250506	0.16880962775487798	0.07506468952106458	-0.13914102770211245	0.06892338686367847	0.08180582675939481	-0.2097750548638979	0.16862214487331262	0.03825497363839113	-0.05759235308241352	0.07243461104343006	0.028365112047393802	-0.037093833839227854	0.22981338481380895	-0.06539041886165047	0.3500808463804697	0.40354389006392044	-0.04853615602975472	0.11653476230235385	-0.20560838207033633	-0.12315404939961005	0.14376100041056178	-0.04929753275267533	0.23715042212555593	-0.23850748370939814	-0.13681515648506404	-0.16514194704114854	0.10127738443548338	0.14649687855917815	0.43400209193612205	-0.16085114640856013	0.1345003131456529	0.0456185282410145	0.01600009783853693	0.05016270482841303	-0.11760377539987264	-0.0076291058440784015	0.1320810697035448	-0.33095341933271405	0.31241381994800266	0.0737880749085386	0.1353329193455505	0.024447007871831475
AXL	0.16214884960427675	-0.04399206824293254	-0.12820344657136065	-0.1132969430792831	0.0634707622582504	1.0	0.11243666671061252	0.22832017277024483	0.05891331791182298	-0.12508142595517838	-0.17859771218410656	0.031646124469448284	-0.18580551627172417	-0.1082295324580349	0.10903914029963443	0.015447609994116075	-0.11558446142309618	0.01027899076619223	-0.2095754126335775	-0.2530185552777288	-0.057035195162621954	0.09762393487301506	0.18924457685448665	-0.02725802898567775	-0.1035195233327746	0.06922711851718845	-0.0321226875391267	-0.16848569863232213	0.002278009482139003	0.15070764405513548	0.10635560293706474	0.02206267294612035	0.36000061034741176	0.2526816100826789	-0.11847221054020807	-0.145897613965664	0.1660692060708152	0.008510712919662876	0.07631007357002705	0.11736767520734936	-0.18087362143389268	-0.11328707321756906	-0.13086322575327708	-0.02959435122414528	0.09562245098225142	-0.10205707005247541	0.354657106371062	0.1920774043659512	-0.11943552060908773	-0.07570722364674481	0.05049472497962461	0.008200245859328452	-0.02367582934312379	-0.027268768888570973	-0.14220823228096258	0.09770513474412253	-0.10911441478332529	0.13794586509421067	0.15711532557595548	-0.07231554028017073	0.2638416167622964	-0.1720259773857433
BAX	-0.07506253798022876	-0.3155601885207423	-0.280157904006819	0.04598975760088638	-0.2687991763167686	0.11243666671061252	1.0	0.1629269425666157	0.3584863439786296	0.2903784123448966	-0.16652284578144058	-0.10821437044958153	0.16846280524263418	-0.29227890455240774	0.06929307903226449	0.04450873235907208	-0.24241100607425364	0.23642688899767064	0.23508919400077763	-0.03495557439926817	-0.19443089648894207	-0.06600013262054266	0.3182168414022266	-0.018478467485016258	-0.013880574562606688	0.22771538367175953	-0.16331296847683413	0.07599949349469537	0.18690864313166117	-0.20714348022068635	0.0011599420660924546	0.12377291084374234	-0.2549951411161096	0.4722464380936459	-0.26242317247905855	-0.24096950424511554	0.029567004567032422	0.045162393870221994	0.35716369588130614	-0.10257040807044905	-0.13649411817437104	0.2749481452970348	-0.3967761510089033	0.14692888938684298	0.41798848747777917	0.22812811330655128	0.2177256875791905	0.05511239664656432	-0.14966166062824232	0.005958640791272159	-0.1665820521956351	0.1432558700256622	-0.05965839592220567	0.027970706877763107	0.1777997001813493	0.16439713039096443	-0.05562548723237166	0.3113273943464508	-0.0737614619386937	0.17039953889525017	-0.272166691188086	0.09351999595754536
BCL2	0.20100783205445144	0.1766452411478781	-0.08210944510542562	-0.11110708987125968	0.06989893536994711	0.22832017277024483	0.1629269425666157	1.0	0.1168803794441302	0.12208163749689208	-0.16968955321000265	-0.0626300417127097	-0.17783852003786813	-0.028357091121818674	-0.20090104392457003	-0.07218336025382467	-0.046096919164442016	0.10982026479186804	-0.06387127815391484	-0.0416978333657254	-0.19343274851878506	0.08812271852496348	0.1463539439411296	-0.05217718081596506	-0.11204315293617018	0.14544249728684783	-0.12819748236278905	-0.09122061537527129	0.2406351981548783	-0.2098688551931646	0.031599684660263215	0.22881425273126854	0.13223064999135528	0.26554081960619197	-0.04972436349303328	-0.1515995066555971	0.18247967850718508	-0.03443630121193976	0.20973852349784328	0.14934868219088723	-0.008493954067813184	0.08993059931053386	0.057067880045427594	0.06683867794044197	0.13885733428050662	0.13210410392013547	0.05899170443395318	0.04002971627528084	-0.05970638573033856	-0.062454106759861405	0.015619102336836182	0.02830689338009796	-0.21834229145667788	0.21872283352157176	0.3180956353895638	0.04672362315931261	0.01914976647724419	0.03390667391531714	0.12368766994015305	-0.16588850575176875	-0.1319287918504265	-0.006186524362641233
BCL2A1	0.19085989678046708	-0.1396528176902228	-0.27724786902853854	0.02232626053276893	-0.30069060505251244	0.05891331791182298	0.3584863439786296	0.1168803794441302	1.0	0.3605994244613571	-0.3776442934592214	0.047385697783861196	-0.051757512517262245	-0.07906823545593394	-0.1820848474365492	-0.06921397586673544	-0.26025998740336853	0.287650426228981	0.07318401261723928	-0.12722913532571373	-0.07135871690034541	0.015188671907369016	0.50084119201083	-0.02813578487720488	-0.2696585481943777	0.1893400607357352	-0.16846589197625628	-0.05069883828050853	0.20382146871913115	0.03688479650917989	0.18549432910458233	0.20358769828579126	-0.12146009524774436	0.21563134894331978	-0.3479321983300903	-0.41742265676746715	0.1730137617759618	-0.14095955910196864	0.22896031152416543	0.12831254274856418	-0.2275726214300857	0.004794300203739783	-0.30731817381285814	0.23890963363932785	0.2171675481321514	0.16869120370267188	-0.05672660035796473	0.0009516941007659568	-0.1689961171607812	0.28781025469748567	-0.04363014110499931	-0.003402178403173468	-0.1040838274798738	0.07741232447256755	0.29783034991200225	0.1478905599760484	-0.20809040461002384	0.34343330747289136	-0.19043811727791	-0.09833107658408524	0.10819003997666864	-0.020025902417742873
BID	0.012039518941464622	0.03363989766756111	-0.3103390491424132	-0.15500716762540892	-0.1933484360357648	-0.12508142595517838	0.2903784123448966	0.12208163749689208	0.3605994244613571	1.0	-0.3981829469526793	0.12272239979675036	-0.09407984767696666	-0.3011017363152625	-0.26348935683389096	0.011148199034009695	-0.11813102581381503	0.2391926358347487	0.044266773237969445	-0.20185305425043254	0.00485377831849371	-0.14724678546677356	0.40283580457342616	-0.15990198458431898	-0.23657894021554315	-0.028640039607124187	-0.10812756497516302	0.01336582593502514	0.14539491754796618	0.0651425087910135	-0.038055618407748106	0.38391850268980116	-0.27945662869778015	0.19561891271172382	-0.31621848714720624	-0.3489497715005354	0.09336346721147502	0.07287286294991412	0.4840318471094619	0.09544869212789524	-0.1998816067562315	-0.035799576565534626	-0.2802528865389066	-0.004034707735016737	0.1151171328238581	-0.03993362461937973	-0.14605747149816214	-0.03751798169398625	0.044155488570133905	0.2962899601217037	-0.10420255232978992	-0.15242065925817322	-0.28368629721871624	0.15637394583876355	0.19003943553317873	0.24085088744179933	-0.24438073752469844	0.35418494298139996	-0.3001975694191477	-0.12681620888857734	0.19007940861516762	-0.08089131735222685
