"Sample_ID"	"ACVRL1"	"AR"	"ARID1A"	"ASNS"	"ATM"	"AXL"	"BAX"	"BCL2"	"BCL2A1"	"BID"	"BRAF"	"BRCA2"	"CDK1"	"DUSP4"	"DVL3"	"EEF2"	"EEF2K"	"EGFR"	"EIF4E"	"ENY2"	"ERCC1"	"ERCC5"	"ETS1"	"FASN"	"FOXM1"	"G6PD"	"GAB2"	"GAPDH"	"GATA3"	"INPP4B"	"IRF1"	"IRS1"	"JAK2"	"LCK"	"MSH2"	"MTOR"	"MYH11"	"NF2"	"NOTCH1"	"NRAS"	"PARP1"	"PCNA"	"PDCD4"	"PDK1"	"PEA15"	"PRDX1"	"PREX1"	"PTEN"	"RAD50"	"RAD51"	"RICTOR"	"Sample_ID.1"	"SLC1A5"	"SMAD1"	"SMAD3"	"SMAD4"	"SRC"	"SYK"	"TAZ"	"TFRC"	"TSC1"	"XBP1"	"XRCC1"
"TCGA-13-1512-01A"	0.16392	-0.7369	0.59827	1.2627	0.10745	-0.27945	0.26396	-0.81345	0.54885	-0.012687	0.1506	-0.48352	0.32501	-0.044859	0.42152	0.11766	0.61911	0.18177	-0.20837	0.73554	-0.0018892	-0.70796	0.011627	0.51459	0.22748	0.010898	1.5393	-1.6776	0.012045	-0.31152	0.28735	-0.27342	-0.35444	0.35841	0.72708	0.29853	-2.0429	-0.83084	0.5847	-0.02157	-0.073005	0.46533	-0.71286	0.026462	0.74261	0.84189	-0.34618	0.35186	0.2674	0.5312	0.12389	"TCGA-13-1512-01A"	1.1728	0.21186	-0.2018	-0.094689	-0.12463	0.89724	-0.045874	1.8478	0.9261	-0.096689	0.85424
"TCGA-24-1567-01A"	-0.0099035	0.81604	0.061199	-0.35301	1.0346	-0.11121	-0.2752	-0.44678	0.044321	-0.0067837	-0.691	-0.33404	-0.26743	-0.1447	0.56894	0.03044	0.28175	-0.0036979	0.0056896	0.54634	-0.08295	-0.6098	-0.022034	0.31497	0.4515	-0.059459	0.092867	-1.1986	-0.38571	-0.80441	-0.49679	0.88443	-0.54519	0.10701	0.63843	0.41168	-0.74609	-0.72939	-0.0072066	0.043484	0.023727	0.20777	0.65225	-0.34739	-0.47606	0.19054	-0.22626	-0.84929	0.20085	0.1051	-0.10875	"TCGA-24-1567-01A"	0.78082	0.12127	0.19907	-0.017036	0.057805	0.79751	0.075761	-1.1582	0.19584	-0.055678	0.49092
"TCGA-25-1626-01A"	0.10948	-0.28381	0.078835	-0.17279	-0.086341	0.55914	-0.23982	-0.58281	0.2467	-0.08674	-0.32283	-0.33844	-0.21559	-0.63974	0.52543	-1.2366	-0.10594	-0.081326	-0.06146	-0.43113	-0.3243	0.077196	-0.3152	-0.82099	0.078058	0.072096	0.22488	-0.6924	-0.28226	-0.28349	0.24127	-0.044546	-0.30548	-0.27678	-0.30583	-0.060918	-0.087124	-0.29486	-0.34949	-0.04117	-1.2582	-0.21346	0.51454	-0.14446	-0.025156	-0.088381	-0.3293	0.58561	-0.41818	-0.10321	0.15008	"TCGA-25-1626-01A"	-0.084043	-0.025009	-0.13698	-0.15324	-0.29029	0.24186	0.15899	-0.7787	0.61044	0.00579	-0.031619
"TCGA-09-1666-01A"	0.0991	1.2973	0.01781	0.63145	0.68302	-0.12578	-0.37215	-0.68509	0.2136	-0.10814	-0.0030294	-0.12463	0.026181	-0.21793	0.26984	-0.6137	0.71906	-0.31742	-0.14393	0.10413	-0.083209	0.014419	-0.58105	-0.7346	0.49171	-0.0012238	1.1188	0.43423	-0.38727	-0.56426	0.40433	-0.27393	-0.035484	0.26238	0.41618	0.25309	-1.2674	-0.27212	-0.27415	0.083154	-0.16204	0.18372	0.10074	0.058313	0.34527	0.233	-0.49247	1.1856	0.061972	-0.18063	-0.13947	"TCGA-09-1666-01A"	-0.14477	0.64351	-0.19536	-0.034736	-0.48541	1.2786	-0.084087	-0.27973	0.076372	-0.12867	0.32528
"TCGA-20-1686-01A"	-0.086006	0.93302	-0.10572	1.5115	0.66587	-0.26203	-0.45235	-0.77169	-0.13739	-0.025129	-0.47003	-0.1521	0.034205	-0.6513	0.17693	-0.51459	0.5154	-0.2616	0.097512	0.27072	-0.022589	-0.52786	-0.17327	-0.12895	0.24189	0.099205	0.27426	-1.5497	-0.4114	0.066676	-0.37534	-0.028237	-0.64549	-0.038255	-0.064935	-0.047931	3.4121	1.4941	-0.11226	-0.28789	-0.28274	-0.13152	0.42195	-0.02213	-0.040903	-0.071898	-0.67782	0.46751	-0.26109	0.056797	1.7117	"TCGA-20-1686-01A"	0.45106	-0.13703	-0.25618	-0.11849	0.16834	-0.1854	0.029398	-0.58905	0.7037	-0.04495	-0.21502
"TCGA-29-1696-01A"	-0.1954	0.671	0.26302	-0.032419	0.19102	-0.71919	-0.52217	-0.071656	-0.10053	-0.13408	-0.020383	-0.37845	-0.012658	1.1896	0.19598	-1.1079	0.75898	0.018736	0.24591	0.41009	0.03921	-0.029945	-1.3133	-0.67959	0.25626	-0.38292	0.93417	-1.4151	-0.05394	-0.4733	0.48421	1.4273	-0.61864	-0.2039	0.38704	0.093703	-1.8827	-0.44761	-0.11884	-0.28362	-0.39564	-0.085621	1.4431	-0.062252	0.14363	0.076455	-0.88312	-0.01328	0.13199	-0.080288	0.088592	"TCGA-29-1696-01A"	0.25314	-0.091408	-0.10724	-0.078787	-0.67588	1.0507	-0.09502	-0.7583	0.22322	-0.39778	-0.14195
"TCGA-04-1514-01A"	0.12594	0.56506	0.63823	0.38262	0.20596	-0.1201	-0.54371	0.35381	0.031108	-0.2186	0.16058	-0.40381	-0.01668	0.13591	0.33137	-2.0029	-0.23371	0.03233	0.029503	0.6744	0.054994	0.0065694	-0.49461	-0.61357	0.13726	-0.05767	0.42215	-1.4419	-0.16231	-0.81196	0.14292	0.17284	-0.21688	-0.9195	0.51521	0.079037	-0.68572	-1.0388	-0.19129	0.0049766	1.3791	0.60122	1.3377	0.10242	-0.1133	0.22388	-0.17767	0.46844	0.35179	-0.04952	-0.77034	"TCGA-04-1514-01A"	-0.51425	0.08478	0.2717	0.1663	0.12378	1.3485	-0.12834	0.51387	-0.22265	0.025061	0.48796
"TCGA-24-1557-01A"	-0.18257	-0.18666	0.36648	0.17453	0.44832	-0.22072	-0.45149	-0.67578	-0.025388	-0.18359	0.10223	-0.2431	0.074277	-0.29403	0.60861	-0.91516	0.64935	-0.082462	-0.046724	0.30822	-0.12966	0.32281	-0.67371	-1.1995	0.21838	-0.25562	1.5318	-2.136	-0.18594	-0.063609	0.057757	-0.077029	-0.59444	-0.23696	0.047154	-0.0036289	0.99984	-0.72993	-0.25686	-0.22185	0.14866	0.36094	0.75934	0.028377	-0.18953	0.15719	-0.61004	0.19943	-0.019713	0.12826	0.51675	"TCGA-24-1557-01A"	1.1341	0.5655	-0.25674	-0.10104	-0.20557	0.9314	0.008166	-2.4932	-0.035821	-0.035934	0.24562
"TCGA-36-1568-01A"	0.11075	0.21834	-0.063958	-0.28515	-0.11767	0.41499	-0.54622	-0.69389	0.44479	0.052311	-0.12652	-0.19029	-0.18567	-0.13161	0.3083	-1.0959	0.27755	-0.018278	-0.39737	-0.068896	0.1079	-0.062303	0.22984	-0.96378	-0.36045	-0.10359	1.0648	-2.3979	-0.18827	1.3881	0.26796	0.36229	-0.48017	-0.050578	-0.47463	-0.22844	-0.23441	-0.42887	-0.015868	0.025794	-0.68783	-0.34542	0.15138	-0.070899	-0.26653	0.11476	-0.184	0.68081	-0.14207	0.036917	-0.080351	"TCGA-36-1568-01A"	-0.34294	0.15361	-0.27375	-0.13192	-0.16796	0.025938	0.060571	-1.0544	0.2023	0.69633	-0.37189
"TCGA-36-1580-01A"	0.094901	0.41203	0.018558	0.23773	0.48869	0.21085	-0.30365	-0.65606	0.38809	-0.12006	-0.024678	-0.24262	-0.35588	-0.10461	0.65613	-0.61125	0.42175	-0.19463	-0.28046	0.0064967	0.10505	-0.41411	0.22791	-0.90821	-0.23884	0.036684	1.3385	0.40519	-0.044382	0.37741	0.23326	-0.056437	-0.40188	0.0063781	-0.14667	0.18572	-0.27169	-0.56561	-0.3234	-0.051296	-0.055121	-0.095278	0.37594	0.1181	-0.081524	0.61151	0.11065	0.96802	-0.2498	-0.048331	0.12731	"TCGA-36-1580-01A"	-0.16633	0.083646	-0.20711	-0.15357	-0.40248	0.82703	0.24903	-0.13437	-0.025424	0.32105	-0.1071
